NameTH	NameEN	LastNameTH	LastNameEN	DepartmentTH	doc_count	cited_by_count
กานต์ 	Kaan 	แตงเที่ยง	Tangtiang	คณะแพทยศาสตร์	4	9
วิเชษฐ์ 	Wichet 	ปิยะวงศ์	Piyawong	คณะแพทยศาสตร์	2	0
ปรียพรรณ 	Preeyaphan 	อรุณากูร	Arunakul	คณะแพทยศาสตร์	2	2
ประวีณ 	Praween 	โล่ห์เลขา	Lolekha	คณะแพทยศาสตร์	7	45
ประสิทธิ์ 	Prasit 	มหาวงศ์ขจิต	Mahawongkajit	คณะแพทยศาสตร์	0	0
กิติวรรณ 	Kitiwan 	โรจนเนืองนิตย์	Rojnueangnit	คณะแพทยศาสตร์	9	47
ภัทรวิน 	Pattharawin 	ภัทรนิธิมา	Pattharanitima	คณะแพทยศาสตร์	3	19
ปิยนุช 	Piyanuch 	คงทิม	Kongtim	คณะแพทยศาสตร์	12	100
พลินท์ 	Palin 	ลิมปวิทยาพร	Limpavitayaporn	คณะแพทยศาสตร์	2	6
อมรพล 	Amonpon 	กันเลิศ	Kanlerd	คณะแพทยศาสตร์	0	0
วันวิสาข์ 	Wanwisa 	หิมะคุณ	Himakoun	คณะแพทยศาสตร์	1	0
พสิษฐ์พล 	Pasitpon 	วัชรวงศ์วาน	Vatcharavongvan	คณะแพทยศาสตร์	4	4
เพชรรัตน์ 	Petcharat 	บุนนาค	Bunnag	คณะแพทยศาสตร์	0	0
อินทนนท์ 	Intanon 	อิ่มสุวรรณ	Imsuwan	คณะแพทยศาสตร์	2	7
วรรณฤดี 	Wanrudee 	โลหิตวิเศษ	Lohitvisate	คณะแพทยศาสตร์	0	0
จิณพิชญ์ชา 	Jinpitcha 	มะมม	Mamom	คณะพยาบาลศาสตร์	0	0
วีรบูรณ์ 	Weeraboon 	วิสารทสกุล	Wisartsakul	วิทยาลัยพัฒนศาสตร์ ป๋วย อึ๊งภากรณ์	0	0
ปริยศ 	Priyoth 	กิตติธีระศักดิ์	Kittiteerasack	คณะพยาบาลศาสตร์	0	0
สสิธร 	Sasitorn 	เทพตระการพร	Taptagaporn	คณะสาธารณสุขศาสตร์	4	10
วศิน 	Wasin 	ศิวสฤษดิ์	Siwasarit	คณะเศรษฐศาสตร์	1	0
วรนาถ 	Woranart 	ทัตติยกุล	Tattiyakul	คณะแพทยศาสตร์	2	10
สถาพร 	Sathaporn 	โอภาสานนท์	Opasanon	คณะพาณิชยศาสตร์และการบัญชี	9	68
พันธุ์จง 	Punchong 	หาญวิวัฒนกุล	Hanvivadhanakul	คณะแพทยศาสตร์	7	257
ณัฐพล 	Nattapol 	ธรรมโชติ	Tammachote	คณะแพทยศาสตร์	9	95
อธิตา 	Athita 	จันทเสนานนท์	Chanthasenanont	คณะแพทยศาสตร์	23	126
อดิศัย 	Adisai 	บัวคำศรี	Buakhamsri	คณะแพทยศาสตร์	14	468
ณัฏฐิณี 	Natthinee 	จรัสเจริญวิทยา	Charatcharoenwitthaya	คณะแพทยศาสตร์	7	255
กมลพรรณ 	Kamolparn 	ภักดี	Pugdee	คณะทันตแพทยศาสตร์	5	131
พิมพ์ฉัตร 	Pimchat 	รสสุธรรม	Rossuthram	คณะสังคมสงเคราะห์ศาสตร์	0	0
วิลาสินี 	Wilasinee 	พนานครทรัพย์	Pananakhonsab	คณะสังคมวิทยาและมานุษยวิทยา	0	0
วีรชัย 	Weerachai 	อัศวเมธาพันธ์	Asawamethapant	คณะวิศวกรรมศาสตร์	12	27
ณัฏฐกัญญา 	Nadthaganya 	สุวรรณลิขิต	Suwanlikhid	คณะแพทยศาสตร์	7	40
ปิยะนุช 	Piyanuch 	วิริเยนะวัตร์	Wiriyaenawat	คณะศิลปศาสตร์	0	0
วีรยุทธ 	Weerayut 	ศรีชัยศิริเวช	Srichaisiriwech	คณะวิทยาศาสตร์และเทคโนโลยี	1	0
เดชา 	Decha 	ตั้งสีฟ้า	Tangseefa	คณะรัฐศาสตร์	4	33
ต่อพงศ์ 	Torpong 	กิตติยานุพงศ์	Kittiyanupong	คณะนิติศาสตร์	0	0
นนทวัชร์ 	Nontawat 	นวตระกูลพิสุทธิ์	Nawatrakulpisut	คณะนิติศาสตร์	0	0
สิทธิชัย 	Sittichai 	ขุนทองแก้ว	Koontongkaew	คณะทันตแพทยศาสตร์	25	542
วิชยา 	Wchaya 	ปิดชามุก	Pidchamook	คณะศิลปศาสตร์	0	0
บุญชู 	Boonchu 	ศิริจงกลทอง	Sirichongkolthong	คณะแพทยศาสตร์	0	0
นพพร 	Nopporn 	พูลยรัตน์	Poolyarat	คณะวิทยาศาสตร์และเทคโนโลยี	18	3
เชิดพันธุ์ 	Chirdpan 	เบญจกุล	Benjakul	คณะทันตแพทยศาสตร์	0	0
รมิดา 	Ramidha 	ศรีเหรา	Srihera	คณะวิทยาศาสตร์และเทคโนโลยี	3	11
สุกัญญา 	Sukanya 	พูลโพธิ์กลาง	Phoolphoklang	คณะพยาบาลศาสตร์	0	0
