author,abstract,title,cited,year,location,linkpdf
Pruettha Nanakorn,"Abstract Fractures developed around high pressurized gas or air storage tunnels can progressively extend to the ground surface, eventually leading to an uplift failure. A tool reasonably reproducing the failure patterns is necessary for stability assessment. In this ",Analysis of fracture propagation in a rock mass surrounding a tunnel under high internal pressure by the element-free Galerkin method,9,2014,,
Pruettha Nanakorn,"Abstract In this study, the element-free Galerkin (EFG) method is extended to include nonlinear behavior of cohesive cracks in 2D domains. A cohesive curved crack is modeled by using several straight-line interface elements connected to form the crack. The ",Analysis of cohesive crack growth by the element-free Galerkin method,8,2008,../papers2/CET/Pruettha Nanakorn/Analysis-of-Cohesive-Crack-Growth-by-the-Element-Free-Galerkin-Method.pdf,https://www.researchgate.net/profile/Pruettha_Nanakorn/publication/237136881_Analysis_of_Cohesive_Crack_Growth_by_the_Element-Free_Galerkin_Method/links/02e7e52b1a435c12e3000000/Analysis-of-Cohesive-Crack-Growth-by-the-Element-Free-Galerkin-Method.pdf
Pruettha Nanakorn,"Abstract In this study, analysis of anchor bolt pullout in plain concrete by the element-free Galerkin (EFG) method is presented. Two-dimensional plane stress pullout problems are considered. Two-dimensional pullout problems are mostly solved by the finite element ",Analysis of anchor bolt pullout in concrete by the element-free Galerkin method,5,2008,,
Pruettha Nanakorn,ABSTRACT Finite element analysis using solid elements to determine effective elastic properties of periodic cellular solids from their unit cells has been extensively studied. Using solid elements in this type of analysis is computationally expensive. Since many periodic ,Periodic boundary conditions for unit cells of periodic cellular solids in the determination of effective properties using beam elements,4,2013,../papers2/CET/Pruettha Nanakorn/5803b10408ae310e0d9f4e1a.pdf,https://www.researchgate.net/profile/Kasem_Theerakittayakorn/publication/256670312_Periodic_boundary_conditions_for_unit_cells_of_periodic_cellular_solids_in_the_determination_of_effective_properties_using_beam_elements/links/5803b10408ae310e0d9f4e1a.pdf
Pruettha Nanakorn,Thermal stress imposed on soil is coupled with the expulsion of pore fluid resulting in thermomechanical fluid flow. This paper describes a coupled flow-deformation model subjected to a constant temperature. Two-dimensional numerical modeling was performed ,Coupled heat-deformation-flow analysis for clayey soil,2,2006,../papers2/CET/Pruettha Nanakorn/56c2801e08ae2dc3eb884a8e.pdf,https://www.researchgate.net/profile/Pruettha_Nanakorn/publication/245294554_Coupled_Heat-Deformation-Flow_Analysis_for_Clayey_Soil/links/56c2801e08ae2dc3eb884a8e.pdf
Pruettha Nanakorn,"Abstract In the analysis of cracking localization, consideration of stability and bifurcation of equilibrium states is necessary. Therefore, it is more suitable to have an energy expression written in terms of discrete irreversible variables, which will allow the variations of the energy ",Finite Element Analysis of Cracking Localization: The Smeared Crack Approach with a Mixed Formulation,2,2000,../papers2/CET/Pruettha Nanakorn/34596,https://www.tci-thaijo.org/index.php/SciTechAsia/article/download/41891/34596
Pruettha Nanakorn,Abstract This study presents the exact forms of the effective elastic constants of arbitrary frame-like periodic cellular solids that can be modeled accurately using Euler beams. The forms are derived analytically by using the homogenization method based on equivalent ,A finite element study of the effect of contact forces between an implant-retained crown and its adjacent teeth on bone stresses,1,2009,../papers2/CET/Pruettha Nanakorn/0c960528a1446223bb000000.pdf,https://www.researchgate.net/profile/Pruettha_Nanakorn/publication/258517220_A_Finite_Element_Study_of_the_Effect_of_Contact_Forces_Between_an_Implant-Retained_Crown_and_its_Adjacent_Teeth_on_Bone_Stresses/links/0c960528a1446223bb000000.pdf
Pruettha Nanakorn,"Practitioners and researchers must always rely on their own experience and knowledge in evaluating and using any information, methods, compounds, or experiments described herein. In using such information or methods they should be mindful of their own safety and ",A ground-structure-based representation with an element-removal algorithm for truss topology optimization,1,2018,../papers2/CET/Pruettha Nanakorn/A-ground-structure-based-representation-with-an-element-removal-algorithm-for-truss-topology-optimization.pdf,https://www.researchgate.net/profile/Pruettha_Nanakorn/publication/323128177_A_ground-structure-based_representation_with_an_element-removal_algorithm_for_truss_topology_optimization/links/5a83950645851504fb3a6459/A-ground-structure-based-representation-with-an-element-removal-algorithm-for-truss-topology-optimization.pdf
Winyu Rattanapitikon,"This study is undertaken to find out the most reliable breaker height formulas that predict well for a wide range of hydraulic conditions. The applicability of 24 existing formulas, for computing breaking wave heights, is examined by using wide range and large amount of …",Verification and modification of breaker height formulas,81,2000,,
Winyu Rattanapitikon,"Based on a large amount of published laboratory results, reliable models axe developed for computing the average rate of energy dissipation in regular and irregular breaking waves. The average energy dissipation rate is assumed to be proportional to the difference between …",Energy dissipation model for regular and irregular breaking waves,42,1998,,
Winyu Rattanapitikon,A new breaker height formula is developed based on a re-analysis of available laboratory data. The analysis shows that the breaking wave steepness is mainly governed by its deepwater wave steepness. The power form could be used to fit the relationship between …,A proposal of new breaker height formula,38,2003,,
Winyu Rattanapitikon,"ABSTRACT Simple formulas are proposed to predict time averaged reference concentration and vertical distribution of suspended sediment concentration, under both non-breaking and breaking waves. The formula for predicting reference concentration is proposed as a …",Vertical distribution of suspended sediment concentration in and outside surf zone,24,1993,,
Winyu Rattanapitikon,"Based on a re-analysis of the existing undertow models and the experimental results, a proper explicit model is proposed for computing undertow profile inside the surf zone. The model has been derived by using the eddy viscosity approach. The model is examined …",Simple model for undertow profile,20,2000,../papers2/CET/Winyu Rattanapitikon/Winyu Rattanapitikon_24B7EC.pdf,https://www.researchgate.net/institution/Thammasat_University/department/Department_of_Civil_Engineering/publications?nav=overview&ev=dep_pub
Winyu Rattanapitikon,"Based on a large amount of published laboratory results, reliable model is developed for computing beach profiles under regular wave actions. The sediment transport is separated into suspended load and bed load. The suspended load is computed as the product of the …",Cross-shore sediment transport and beach deformation model,19,1997,../papers2/CET/Winyu Rattanapitikon/5127,https://journals.tdl.org/icce/index.php/icce/article/viewFile/5451/5127
