NameTH	NameEN	LastNameTH	LastNameEN	DepartmentTH	doc_count	cited_by_count
บุญส่ง 	Boonsong 	ประทีปสว่างวงศ์	Prateepsawangwong	คณะทันตแพทยศาสตร์	0	0
พวงผกา 	Puangpaka 	คงวัฒนานนท์	Kongvattananon	คณะพยาบาลศาสตร์	6	1
ดนัย 	Danai 	วันทนากร	Wantanakorn	ภาควิชาวิศวกรรมโยธา คณะวิศวกรรมศาสตร์	0	0
ธีรวัฒนา 	Thirawatthana 	ภาระมาตย์	Pharamat	ภาควิชาเทคโนโลยีชีวภาพ คณะวิทยาศาสตร์และเทคโนโลยี	1	0
ศุภัช 	Suphat 	ศุภชลาศัย	Suphachalasai	คณะเศรษฐศาสตร์	0	0
วิชัย 	Wichai 	ลีละวงค์เทวัญ	Leelawongtawun	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	3	1
ชัยรัตน์ 	Chairath 	ตันติไพบูลย์วุฒิ	Tantipaibulvut	ภาควิชาวิศวกรรมอุตสาหการ คณะวิศวกรรมศาสตร์	0	0
อรุณี 	Arunee 	ตันวิสุทธิ์	Tanvisuth	คณะพาณิชยศาสตร์และการบัญชี	2	0
ศศี 	Sasee 	จันทร์ประพันธ์	Chanprapun	คณะศิลปศาสตร์	3	0
บุรฉัตร 	Burachat 	ฉัตรวีระ	Chatveera	ภาควิชาวิศวกรรมโยธา คณะวิศวกรรมศาสตร์	20	22
ปาริชาต 	Parichat 	ชื่นวัฒนกุล	Chuenwatanakul	ภาควิชาวิศวกรรมอุตสาหการ คณะวิศวกรรมศาสตร์	0	0
สัญญาณ 	Sunyarn 	เนียมปุก	Niempoog	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	14	4
วิทวัส 	Witawat 	รุ่งเรืองผล	Rungruangphon	คณะพาณิชยศาสตร์และการบัญชี	9	1
วัลลภา 	Wallapa 	วิทยารักษ์	Wittayarak	คณะศิลปศาสตร์	2	0
พันทิศา 	Pantisa 	ภาวบุตร	Pavabutr	คณะพาณิชยศาสตร์และการบัญชี	0	0
กัลยา 	Kalya 	เอี้ยประเสริฐศักดิ์	Eaiprasertsak	ภาควิชาฟิสิกส์ คณะวิทยาศาสตร์และเทคโนโลยี	2	0
จรี 	Jarree 	ไชยชาญ	Chaicharn	ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์	0	0
คำยวง 	Kamyuang 	วราสิทธิชัย	Warasittichai	คณะศิลปศาสตร์	7	0
วัลลี 	Wallee 	สัตยาศัย	Satayasai	สถานวิทยาศาสตร์พรีคลินิก คณะแพทยศาสตร์	6	3
สังวาลย์ 	Sangwan 	คงจันทร์	Chongchan	คณะศิลปศาสตร์	3	0
สุปาณี 	Supanee 	พัดทอง	Patthong	คณะศิลปศาสตร์	5	0
สิริกันยา 	Sirikunya 	นิลพานิช	Nilpanich	ภาควิชาวิทยาการคอมพิวเตอร์ คณะวิทยาศาสตร์และเทคโนโลยี	0	0
เพ็ญศรี 	Pensri 	วัจฉละญาณ	Watchalayann	คณะสาธารณสุขศาสตร์	6	2
วันชัย 	Wanchai 	ไพจิตโรจนา	Pijitrojana	ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์	3	0
เพ็ญแข 	Penkhae 	ฮิคคินบอททอม	Hickinbottom	ภาควิชาคณิตศาสตร์และสถิติ คณะวิทยาศาสตร์และเทคโนโลยี	0	0
มาโนชย์ 	Manoch 	ศรีนางแย้ม	Srinangyam	ภาควิชาวิทยาศาสตร์และเทคโนโลยีการอาหาร คณะวิทยาศาสตร์และเทคโนโลยี	0	0
ปิรัญญา 	Piranya 	บุนนาค	Bunnag	คณะศิลปศาสตร์	1	0
ชาวสวน 	Chaosuan 	กาญจโนมัย	Kanchanomai	ภาควิชาวิศวกรรมเครื่องกล คณะวิศวกรรมศาสตร์	0	0
มณฑลี 	Montalee 	ศาสนนันทน์	Sasananan	ภาควิชาวิศวกรรมอุตสาหการ คณะวิศวกรรมศาสตร์	9	4
นุชสิริ 	Nusiri 	เลิศวุฒิโสภณ	Lerdvuthisopon	สถานวิทยาศาสตร์พรีคลินิก คณะแพทยศาสตร์	14	13
เสาวลักษณ์ 	Saowaluk 	วรรธนาภา	Watanapa	ภาควิชาวิทยาการคอมพิวเตอร์ คณะวิทยาศาสตร์และเทคโนโลยี	3	0
รัชฎา 	Rachada 	คงคะจันทร์	Kongkachandra	ภาควิชาวิทยาการคอมพิวเตอร์ คณะวิทยาศาสตร์และเทคโนโลยี	5	0
วิลาวรรณ 	Wilawan 	รักผกาวงศ์	Rukpakavong	ภาควิชาวิทยาการคอมพิวเตอร์ คณะวิทยาศาสตร์และเทคโนโลยี	0	0
อารยะ 	Arayah 	ปรีชาเมตตา	Preechametta	คณะเศรษฐศาสตร์	7	0
นิตยา 	Nitaya 	วงศ์ภินันท์วัฒนา	Wongpinunwatana	คณะพาณิชยศาสตร์และการบัญชี	13	6
ทวีศักดิ์ 	Taweesak 	กิจกาญจนารัตน์	Kijkanjanarat	ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์	3	0
ไพบูลย์ 	Paiboon 	นาคมหาชลาสินธุ์	Nakmahachalasint	ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์	0	0
สุภาพร 	Supaporn 	ภัทราคร	Patharakorn	คณะศิลปศาสตร์	1	0
ธเนศ 	Thanet 	เมฆจำเริญ	Makjamroen	คณะเศรษฐศาสตร์	0	0
ทัศฐา 	Tustha 	ศรีวาลัย	Sriwalai	ภาควิชาวิศวกรรมโยธา คณะวิศวกรรมศาสตร์	0	0
ถนอม 	Tanom 	เทียนสว่างชัย	Tiensawangchai	สถาบันภาษา	0	0
อุทัยรัศมิ์ 	Utairat 	เชื่อมรัตนกุล	Chaumrattanakul	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	4	1
ชลิดาภรณ์ 	Chalidaporn 	ส่งสัมพันธ์	Songsamphan	คณะรัฐศาสตร์	7	1
พงศ์ธร 	Pongtorn 	ธูปะเตมีย์	Dhupatemiya	ภาควิชาวิศวกรรมเคมี คณะวิศวกรรมศาสตร์	1	0
เมธาวุฒิ 	Methawut 	พีรพรวิทูร	Peerapornvitoon	คณะพาณิชยศาสตร์และการบัญชี	2	0
ศุภชัย 	Supachai 	ฐิติอาชากุล	Thitiarchakul	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	8	1
สุพงศ์ 	Supong 	ตั้งเคียงศิริสิน	Tangkiengsirisin	สถาบันภาษา	0	0
ศิริเพ็ญ 	Siripen 	ต่ออุดม	Tor-udom	สถานวิทยาศาสตร์พรีคลินิก คณะแพทยศาสตร์	5	2
ชลดา 	Chollada 	โกพัฒตา	Kopatta	คณะศิลปศาสตร์	4	1
มนนิภา 	Monnipha 	สมพงษ์	Somphong	สถาบันภาษา	0	0
ชนิกา 	Chanika 	แกมพ์เพอร์	Gampper	สถาบันภาษา	0	0
สมชาย 	Somchai 	สุขะการค้า	Sukaganka	คณะศิลปศาสตร์	0	0
พรศิริ 	Pornsiri 	สิงหปรีชา	Singhapreecha	สถาบันภาษา	0	0
อดิศร 	Adisorn 	หมวกพิมาย	Muakpimai	คณะศิลปศาสตร์	1	0
สมชาติ 	Somchart 	โชคชัยธรรม	Chokchaitam	ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์	0	0
กุลยา 	Kulaya 	จันทะเดช	Jantadej	คณะพาณิชยศาสตร์และการบัญชี	5	1
กมลทิพย์ 	Kamontip 	แจ่มกระจ่าง	Chamkajang	คณะสังคมสงเคราะห์ศาสตร์	0	0
โปรดปราน 	Prodpran 	สิริธีรศาสน์	Siritheerasas	ภาควิชาวิศวกรรมเคมี คณะวิศวกรรมศาสตร์	2	0
รังรอง 	Rungrong 	เจียมวิจักษณ์	Jiamwijak	คณะศิลปศาสตร์	2	0
เกล็ดแก้ว 	Kledkaew 	ด่านวิวัฒน์	Danvivathana	สถานวิทยาศาสตร์พรีคลินิก คณะแพทยศาสตร์	2	0
วีรยา 	Weeraya 	ฉิมอ้อย	Chim-oye	ภาควิชาวิศวกรรมโยธา คณะวิศวกรรมศาสตร์	8	0
พิชัย 	Pichai 	อารีย์	Aree	ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์	3	0
ธีรพจน์ 	Teerapot 	ศิริจันทร์	Sirichan	คณะศิลปศาสตร์	0	0
อภิชาต 	Apichat 	สถิตนิรามัย	Satitniramai	คณะเศรษฐศาสตร์	0	0
บุญทรัพย์ 	Boonsap 	วิชญางกูร	Witchayangkoon	ภาควิชาวิศวกรรมโยธา คณะวิศวกรรมศาสตร์	3	1
ยงศักดิ์ 	Yongsak 	ขจรผดุงกิตติ	Kachonpadungkitti	ภาควิชาเทคโนโลยีชีวภาพ คณะวิทยาศาสตร์และเทคโนโลยี	6	0
ชัชวดี 	Chatchawadee 	ศรลัมพ์	Saralamba	คณะศิลปศาสตร์	3	5
วิมลชยา 	Vimolchaya 	ญาณสุคนธ์	Yanasugondha	สถาบันภาษา	0	0
สิปปภาส 	Sippapas 	พรสุขสว่าง	Pornsooksawang	คณะพาณิชยศาสตร์และการบัญชี	2	0
ศุภชัย 	Supachai 	วรพจน์พิศุทธิ์	Vorapojpisut	ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์	0	0
สาธก 	Satok 	ไชยกุลชื่นสกุล	Chaikunchuensakun	ภาควิชาวิศวกรรมเคมี คณะวิศวกรรมศาสตร์	0	0
จิรรัตน์ 	Jirarat 	ธีระวราพฤกษ์	Teeravaraprug	ภาควิชาวิศวกรรมอุตสาหการ คณะวิศวกรรมศาสตร์	10	3
นริศ 	Naris 	เจริญพร	Charoenporn	ภาควิชาวิศวกรรมอุตสาหการ คณะวิศวกรรมศาสตร์	2	0
ศิริพร 	Siriporn 	วัชชวัลคุ	Wajjwalku	คณะรัฐศาสตร์	7	0
พรรณพัชร 	Pannapachr 	อิทธิโอภาสกุล	Itthiopassagul	คณะพาณิชยศาสตร์และการบัญชี	0	0
วรรษา 	Wansa 	เปาอินทร์	Paoin	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	4	1
พิภพ 	Pipop 	อุดร	Udorn	คณะพาณิชยศาสตร์และการบัญชี	3	0
อบรม 	Obrom 	เชาวน์เลิศ	Chaowalerd	คณะพาณิชยศาสตร์และการบัญชี	1	2
ภวิดา 	Pavida 	ปานะนนท์	Pananond	คณะพาณิชยศาสตร์และการบัญชี	0	0
นิตยา 	Nittaya 	แก้วคัลณา	Kaewkallana	คณะศิลปศาสตร์	9	0
นันทวัน 	Nantawan 	ชูอารยะประทีป	Chuarayapratib	คณะศิลปศาสตร์	2	0
ชัยศักดิ์ 	Chaisak 	พิสิษฐ์ไพบูลย์	Pisitpaibool	ภาควิชาวิศวกรรมโยธา คณะวิศวกรรมศาสตร์	0	0
